ind,birthyear,cohort,ringed,tag_lost
G141,2019,2019,2019-09-05,
G272,,2020,2020-02-03,
G279,2020,RESCUE,2020-06-23,
G293,2020,2020,2020-09-04,
G294,2020,2020,2020-09-14,
G295,2020,2020,2020-09-14,
G296,2020,2020,2020-09-15,
G297,2020,2020,2020-09-18,
G298,2020,2020,2020-09-21,
G308,2020,2020,2020-10-05,2024-07-25 12:00:00
G335,2020,2020,2020-10-12,
G340,2020,2020,2020-10-15,
G344,2020,2020,2021-03-03,
G345,2020,2020,2021-03-03,
G346,2020,2020,2021-03-03,
G347,2020,2020,2021-03-03,
G348,2020,2020,2021-03-03,
G349,2020,2020,2021-03-03,
G350,2020,2020,2021-03-03,
G351,2020,2020,2021-03-07,
G352,2020,2020,2021-03-07,
G425,2021,2021,2021-07-01,2023-10-24 05:22:02
G427,2021,2021,2021-07-07,2023-06-06 06:59:36
G434,2021,2021,2021-07-07,2021-12-01 14:57:00
G444,2021,2021,2021-07-09,
G454,2021,2021,2021-07-20,
G467,2021,2021,2021-07-22,
G479,2021,2021,2021-09-20,
G480,2021,2021,2021-10-06,
G481,2021,2021,2021-10-07,
G482,2021,2021,2021-10-08,
G483,2021,2021,2021-10-08,
G484,2021,2021,2021-10-08,
G485,2021,2021,2021-10-08,
G486,2021,2021,2021-10-08,
G487,2021,2021,2021-10-13,
G488,2021,2021,2021-10-13,
G489,2021,2021,2021-10-13,
G491,2021,2021,2021-10-13,
G492,2021,2021,2021-10-13,
G493,2021,2021,2021-10-13,
G494,2021,2021,2021-10-13,
G495,2021,2021,2021-10-14,
G496,2021,2021,2021-10-14,
G655,2022,2022,2022-09-05,
G659,2022,2022,2022-09-05,
G661,2022,2022,2022-09-05,
G663,2022,2022,2022-09-05,
G715,2022,2022,2022-09-30,
G770,,2022,2022-11-02,
G814,2022,2022,2022-12-09,
G815,2022,2022,2022-12-09,
G816,2022,2022,2022-12-09,
G818,2022,2022,2022-12-09,
G819,2022,2022,2022-12-09,
G837,2022,2022,2023-01-16,
G838,2022,2022,2023-01-16,
G839,2022,2022,2023-01-16,
G845,2022,2022,2023-02-02,
G846,2022,2022,2023-02-09,
R160,2023,METRO,2024-03-30,
R161,,RURAL,,
R162,,RURAL,,
R164,,RURAL,,
R165,,RURAL,,
R166,,RURAL,,
R167,,RURAL,,
R168,,RURAL,,
R185,,RURAL,,
R194,,RURAL,,
R196,,RURAL,,
R198,,RURAL,,
R199,,RURAL,,
R204,,RURAL,,
R205,,RURAL,,
R206,,RURAL,,
R208,2024,2024,2024-09-03,
R209,2024,2024,2024-09-03,
R210,2024,2024,2024-09-03,
R211,2024,2024,2024-09-03,
R212,2024,2024,2024-09-03,
R213,2024,2024,2024-09-03,
R214,2024,2024,2024-09-05,
R215,2024,2024,2024-09-05,
R216,2024,2024,2024-09-05,
R217,2024,2024,2024-09-05,
R218,2024,2024,2024-09-05,
R219,2024,2024,2024-09-05,
R220,2024,2024,2024-09-05,
R221,2024,2024,2024-09-05,
R223,2024,2024,2024-09-05,
R224,2024,2024,2024-09-05,
R225,2024,2024,2024-09-05,
R226,2024,2024,2024-09-05,
R227,2024,2024,2024-09-05,
R228,2024,2024,2024-09-05,
R229,2024,2024,2024-09-05,
R230,2024,2024,2024-09-05,
R231,2024,2024,2024-09-06,
R232,2024,2024,2024-09-06,
R233,2024,2024,2024-09-06,
R234,2024,2024,2024-09-06,
R236,2024,2024,2024-09-06,
